annee,trimestre,rdb,rdb_uc,pa_rdb,pa_rdb_uc,taux_epargne,taux_epargne_financier,periode
2012,T4,148.39039260389498,133.96621618482354,122.50997998439007,110.44569554573134,118192.94073544907,1144.957844014815,2012-T4
2013,T1,149.57751574472613,134.77001348193247,123.00001990432763,110.6665869368228,135567.3030235601,1203.3506940595705,2013-T1
2013,T2,149.57751574472613,134.5004734549686,123.00001990432763,110.55592034988598,155088.99465895275,1261.11152737443,2013-T2
2013,T3,149.4279382289814,134.0969720346037,122.63101984461464,110.11369666848644,177111.63190052405,1320.383769161028,2013-T3
2013,T4,149.12908235252343,133.5605841464653,122.50838882477002,109.78335557848098,201021.7022070948,1371.8787361583081,2013-T4
2014,T1,150.62037317604867,134.629068819637,123.36594754654341,110.44205571195187,230370.87072933064,1441.8445517023818,2014-T1
2014,T2,151.22285466875286,134.89832695727628,123.98277728427612,110.88382393479968,263774.6469850836,1515.378623839203,2014-T2
2014,T3,152.1301917967654,135.4379202651054,124.72667394798178,111.43824305447367,302549.5200918909,1595.6936909026808,2014-T3
2014,T4,152.1301917967654,135.16704442457518,124.72667394798178,111.21536656836473,346116.6509851232,1677.0740691387175,2014-T4
2015,T1,152.43445218035893,135.30221146899976,124.97612729587775,111.21536656836473,395265.21542501065,1759.2506985265147,2015-T1
2015,T2,152.73932108471965,135.30221146899976,124.60119891399012,110.77050510209126,449811.8151536621,1838.416979960208,2015-T2
2015,T3,153.65575701122796,135.84342031487574,125.47340730638805,111.32435762760171,513235.28109032847,1926.660994998298,2015-T3
2015,T4,154.4240357962841,136.38679399613525,126.35172115753277,111.88097941573972,587654.3968484261,2024.9207057432113,2015-T4
2016,T1,154.88730790367296,136.5231807901314,127.10983148447797,112.32850333340268,669926.0124072058,2116.042137501656,2016-T1
2016,T2,155.19708251948032,136.65970397092153,127.23694131596244,112.21617483006928,762375.8021194001,2204.915907276725,2016-T2
2016,T3,156.43865917963615,137.61632189871798,128.12759990517418,112.77725570421963,872920.2934267131,2312.956786733285,2016-T3
2016,T4,156.90797515717506,137.89155454251542,128.12759990517418,112.5517011928112,993383.2939195995,2410.1009717760826,2016-T4
2017,T1,158.32014693358963,138.99468697885555,128.38385510498452,112.66425289400401,1132456.9550683433,2513.735313562454,2017-T1
2017,T2,159.42838796212476,139.68966041374983,129.15415823561443,113.22757415847403,1294398.2996431165,2624.339667359202,2017-T2
2017,T3,160.22552990193537,140.24841905540484,129.6707748685569,113.56725688094944,1478202.8581924392,2739.8106127230067,2017-T3
2017,T4,161.50733414115086,141.08990956973727,130.05978719316255,113.6808241378304,1689585.866913958,2857.622469070096,2017-T4
2018,T1,161.50733414115086,140.94881966016754,129.27942847000358,112.88505836886559,1919369.5448142563,2954.781633018479,2018-T1
2018,T2,163.44542215084468,142.49925667642938,130.3136638977636,113.56236871907878,2195758.759267509,3078.8824616052552,2018-T2
2018,T3,164.5895401059006,143.21175295981152,130.7046048894569,113.78949345651694,2509752.2618427626,3202.0377600694655,2018-T3
2018,T4,166.8937936673832,144.93029399532927,132.27306014813038,114.9273883910821,2893744.357904705,3365.3416858330083,2018-T4
