date_mutation,valeur_fonciere,code_postal,nom_commune,surface_carrez,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude
2014-01-15,290000.0,44300,Nantes,,Maison,39.0,3,89.0,-1.573386,47.232308
2014-01-15,278500.0,44100,Nantes,,Maison,73.0,3,68.0,-1.57792,47.214220000000005
2014-01-15,324000.0,44800,Saint-Herblain,,Maison,125.0,6,486.0,-1.6409880000000001,47.216934
2014-01-02,111500.0,44000,Nantes,44.31,Appartement,17.0,1,,-1.5487469999999999,47.220960999999996
2014-01-02,111500.0,44000,Nantes,44.31,Appartement,45.0,2,,-1.5487469999999999,47.220960999999996
2014-01-07,185000.0,44000,Nantes,60.14,Appartement,51.0,2,,-1.5633860000000002,47.214203000000005
2014-01-03,96500.0,44300,Nantes,,Maison,33.0,1,464.0,-1.542793,47.254146
2014-01-03,96500.0,44300,Nantes,,Maison,47.0,2,464.0,-1.542793,47.254146
2014-01-06,178500.0,44100,Nantes,70.0,Appartement,69.0,3,,-1.571382,47.213657
2014-01-29,227000.0,44300,Nantes,,Maison,81.0,5,480.0,-1.574859,47.266441
2014-01-10,250000.0,44100,Nantes,,Maison,120.0,5,245.0,-1.5944450000000001,47.202109
2014-01-02,130000.0,44300,Nantes,49.76,Appartement,50.0,2,,-1.5668790000000001,47.234021999999996
2014-01-06,165000.0,44300,Nantes,,Maison,92.0,4,270.0,-1.571497,47.258307
2014-01-22,224000.0,44300,Nantes,,Maison,82.0,4,378.0,-1.575301,47.251836
2014-01-24,205000.0,44100,Nantes,,Appartement,41.0,2,,-1.576627,47.212725
2014-01-22,440000.0,44300,Nantes,,Maison,160.0,5,380.0,-1.5420969999999998,47.253033
2014-01-17,70000.0,44100,Nantes,,Maison,95.0,4,420.0,-1.589125,47.221030999999996
2014-01-17,430000.0,44800,Saint-Herblain,,Maison,134.0,7,495.0,-1.598004,47.235197
2014-01-10,290000.0,44000,Nantes,99.08,Appartement,101.0,4,,-1.550049,47.231988
2014-01-10,315000.0,44100,Nantes,,Maison,97.0,3,120.0,-1.592216,47.21092
2014-01-24,378000.0,44300,Nantes,,Maison,126.0,5,390.0,-1.556925,47.233634
2014-01-27,347000.0,44100,Nantes,,Maison,100.0,3,164.0,-1.5797780000000001,47.211225
2014-01-28,238000.0,44000,Nantes,83.56,Appartement,84.0,3,,-1.572873,47.224748999999996
2014-01-08,175000.0,44100,Nantes,,Maison,68.0,4,256.0,-1.6101530000000002,47.20171
2014-01-28,141065.0,44100,Nantes,45.38,Appartement,22.0,1,,-1.570349,47.214519
2014-01-28,141065.0,44100,Nantes,45.38,Appartement,23.0,1,,-1.570349,47.214519
2014-01-06,150000.0,44000,Nantes,69.59,Appartement,70.0,2,,-1.543143,47.218242
2014-01-23,180000.0,44100,Nantes,78.35,Appartement,156.0,0,,-1.5842559999999999,47.218751
2014-01-24,290000.0,44200,Nantes,,Maison,150.0,7,708.0,-1.5370030000000001,47.1915
2014-01-13,190000.0,44300,Nantes,,Maison,96.0,6,179.0,-1.562015,47.238012
2014-02-04,167000.0,44000,Nantes,61.81,Appartement,61.0,3,,-1.534155,47.222142
2014-02-03,178000.0,44800,Saint-Herblain,72.5,Maison,72.0,3,,-1.6505169999999998,47.225714
2014-01-31,84000.0,44100,Nantes,,Appartement,17.0,1,,-1.5674219999999999,47.210829
2014-01-31,84000.0,44100,Nantes,,Appartement,18.0,1,,-1.5674219999999999,47.210829
2014-01-16,183000.0,44300,Nantes,63.41,Appartement,58.0,3,,-1.507484,47.240037
2014-01-21,167000.0,44000,Nantes,,Appartement,48.0,2,,-1.559376,47.221652
